id,sentence,queryId
DACT/wik_part0049/25506-4-6.xml,"Vier kan gezien worden als de vier steden waartussen gereden zou moeten gaan worden ( Amsterdam , Rotterdam , Antwerpen en Brussel ) .",^q_1b_51234,1
DACT/wik_part0107/88347-26-1.xml,"Er zijn simpel gezegd twee manieren om spraak te herkennen : via een vaste grammatica waarbij de ontwerper bepaald welke woorden op welk moment herkend kunnen worden en via de " groot vocabulaire " spraakherkenning waarbij in principe alles herkend zou moeten kunnen worden .",^q_1b_51234,1
DACT/wik_part0134/125720-25-5.xml,"Het is moeilijk te begrijpen hoe met het toenmalige primitieve systeem van seinvlaggen de communicatieproblemen bij het coördineren van een slaglinie van twaalf kilometer lengte overwonnen zouden hebben kunnen worden , vooral als we bedenken dat ook de Britten 24 ingehuurde koopvaarders gebruikten .",^q_1b_51234,1
DACT/wik_part0139/136274-25-7.xml,"Homoseksualiteit werd nu niet meer gezien als een misdaad , maar als een medische of psychische aandoening , die genezen zou moeten kunnen worden .",^q_1b_51234,1
DACT/wik_part0142/140549-23-2.xml,"Deze stelling werd aanzien als een laatste zware stelling waar de vijand gedurende langere tijd tegengehouden zou moeten kunnen worden .",^q_1b_51234,1
DACT/wik_part0144/142731-7-1.xml,"Recent moleculair onderzoek ( suggereert dat de familie " Rafflesiaceae " ontstaan is vanuit de wolfsmelkfamilie , en daar misschien bij ingevoegd zou kunnen gaan worden .",^q_1b_51234,1
DACT/wik_part0210/265787-4-9.xml,"Een succesvol offensief tegen de Grebbelinie was niet essentieel voor het welslagen van dit plan - - hoe dan ook zou een aanval daar de Nederlanders afleiden en hun krachten binden - - maar het Duitse opperbevel ging ervan uit dat het Nederlandse leger zo zwak was dat de Grebbelinie snel doorbroken zou moeten kunnen worden , vooral omdat men abusievelijk veronderstelde dat de Nederlandse hoofdweerstand bij het oostfront van de Vesting Holland geboden zou worden , zoals inderdaad oorspronkelijk in de bedoeling gelegen had .",^q_1b_51234,1
DACT/wik_part0415/774097-3-3.xml,"Dit houdt in dat de digitale informatie die overgedragen moet worden gecodeerd wordt in de fase van de hoogfrequent draaggolf .",^q_1b_51234,0
DACT/wik_part0431/821826-7-1.xml,"Op 30 april meldde het BBC-actualiteitenprogramma " Panorama " dat Woolmer voor hij gewurgd zou zijn gedrogeerd zou zijn met een middel dat hem hulpeloos had gemaakt .",^q_1b_51234,0
DACT/wik_part0542/1129621-5-1.xml,"Hij eiste van de Romeinen dat alle christenen die naar Rome uitgeweken waren teruggestuurd zouden worden .",^q_1b_51234,0
DACT/wik_part0549/1150717-5-1.xml,"Op 17 maart 2009 maakte de WMSC ( World Motor Sport Council ) , het beslissingsorgaan van de FIA , bekend dat het puntensysteem zoals dat tot en met het seizoen van 2008 gebruikt werd zou worden gewijzigd .",^q_1b_51234,0
DACT/wik_part0569/1215663-71-6.xml,"Clandestien ging op papier het onderzoek door naar een verbeterde versie , de SARL 42 , die voorzien zou moeten moeten worden van de ARL 3-toren met 75 mm kanon en optische afstandsmeter .",^q_1b_51234,1
DACT/wik_part0615/1367504-4-4.xml,"Ook in de luchtmacht deed bepantsering soms haar intrede ; met name tijdens de Tweede Wereldoorlog , toen het de piloten moest beschermen en bij de ontwikkeling van zwaar bepantserde vliegtuigen , die in theorie moeilijker kapot geschoten zouden moeten kunnen worden door vuur vanaf de grond .",^q_1b_51234,1
DACT/wik_part0756/1857203-6-3.xml,"Wel moest gezorgd worden dat de misdaden die tijdens de crisis in 2006 begaan werden bestraft zouden worden en moest de overheid van het land transparanter gaan werken .",^q_1b_51234,0
DACT/wik_part0830/2132536-5-1.xml,"Grohl was het oneens met de release omdat hij voelde dat de band hun grootste hit nog niet had geschreven en liever wilde dat het album als de band gestopt was uitgebracht zou worden .",^q_1b_51234,0
